Protsay 20-30 female
віднести		віднести 		verb:inf:perf  0
лише			лише 			conj:subord  0
один			один 			numr:m:v_naz  0
і				і 				part  0
дуже			дуже 			adv 21
суттєвий		суттєвий 		adj:m:v_naz:compb  0
Страви			страва 			noun:p:v_naz  0
з				з 				prep:rv_rod 0
м'яса			м'ясо			noun:n:v_rod  0
були			бути 			verb:past:p:imperf  0
настільки		настільки 		adv  0
смачними		смачний 		adj:p:v_oru:compb  18
що				що 				conj:subord  18
гості			гість 			noun:p:v_naz:anim  0
не				не 				part  -36
іти				іти				verb:inf:imperf  0
додому			додому 			adv  0
Шановний		шановний 		adj:m:v_naz  0
персонал		персонал 		noun:m:v_naz  0
весілля			весілля 		noun:n:v_naz  50
повинно			повинно 		predic  0
тривати			тривати 		verb:inf:imperf  0
1				1 				number  0
день			день 			noun:m:v_naz  0
а				а 				conj:coord  0
не				не 				part  0
3				3 				number  0
дні				день 			noun:p:v_naz  0
Настільки		настільки 		adv  0
смачними		смачний 		adj:p:v_oru:compb  10
були			бути 			verb:past:p:imperf  0
Ребра			ребро 			noun:p:v_naz  0
і				і 				conj:coord  0
Качка			качка 			noun:f:v_naz:anim  0
що				що 				conj:subord  0
гості			гість 			noun:p:v_naz:anim 0
наші			наш 			pron:pos:p:v_naz  0
з				з 				prep:rv_oru  0
задоволенням	задоволення 	noun:n:v_oru  50
говорили		говорити		verb:past:p:imperf  0
що				що 				conj:subord  0
не				не 				part  0
підуть			піти 			verb:futr:p:3:perf  0
додому			додому 			adv  0
Висновок		висновок 		noun:m:v_naz  0
Наші			наш 			pron:pos:p:v_naz  0
гості			гість 			noun:p:v_naz:anim  0
були			бути 			verb:past:p:imperf  0
надзвичайно		надзвичайно 	adv  9
здивовані		здивований 		adjp:pasv:past:p:v_naz  -24
теплою			теплий 			adj:f:v_oru:compb  15
атмосферою		атмосфера 		noun:f:v_oru  0
приємними		приємний 		adj:p:v_oru:compb  17
і				і 				conj:coord  0
ввічливими		ввічливий 		adj:p:v_oru:v-u  14
офіціантами		офіціант 		noun:p:v_oru:anim  0
Ми				ми 				pron:pers:p:1:v_naz:anim  0
з				з 				prep:rv_oru  0
батьками		батько 			noun:p:v_oru:anim  0
радимо			радити 			verb:pres:p:1:imperf  0
усім			увесь 			pron:dem:p:v_dav  0
хто				хто 			pron:int:rel:m:v_naz:anim  0
проводити		проводити 		verb:inf:imperf  0
весілля			весілля 		noun:n:v_naz  50
у				у 				prep:rv_misv-u  0
ресторані		ресторан		noun:m:v_mis  0
якщо			якщо 			conj:subord  0
ви				ви 				pron:pers:p:2:v_naz:anim  0
вагаєтесь		вагатися 		verb:rev:pres:p:2:imperf  0
то				то 				conj:subord  0
приїдьте		приїхати 		verb:impr:p:2:perf  0
і				і 				conj:coord  0
повечеряйте		повечеряти 		verb:impr:p:2:perf  0
там				там 			adv 0
Ви				ви 				pron:pers:p:2:v_naz:anim 0
будете			бути 			verb:futr:p:2:imperf  0
здивовані		здивований 		adjp:pasv:past:p:v_naz  -27
смачними		смачний 		adj:p:v_oru:compb  26
стравами		страва 			noun:p:v_oru  0
і				і 				conj:coord  0
атмосферою		атмосфера 		noun:f:v_oru  0
а				а 				conj:coord  0
професійні		професійний 	adj:p:v_naz:compb  0
офіціанти		офіціант 		noun:p:v_naz:anim  0
вам				ви 				pron:pers:p:2:v_dav:anim 0
не				не 				part  0
створять		створити 		verb:futr:p:3:perf  0
жодного			жодний 			pron:m:v_rod  -28
клопоту			клопіт 			noun:m:v_rod  -28
і				і 				conj:coord  0
вам				ви 				pron:pers:p:2:v_dav:anim 0
порадити		порадити 		verb:inf:perf  0
кращі			хороший 		adj:p:v_zna:compr  12
страви			страва 			noun:p:v_zna   0
Ми				ми 				pron:pers:p:1:v_naz:anim 0
рекомендуємо	рекомендувати 	verb:pres:p:1:imperf  0
вам				ви 				pron:pers:p:2:v_dav:anim 0
саме			саме			adv  0
цей				цей 			pron:dem:m:v_zna  0
ресторан		ресторан 		noun:m:v_zna  0
Молода			молодий 		adj:f:v_naz:compb  0
сім'я			сім'я 			noun:f:v_naz  0
Ми				ми 				pron:pers:p:1:v_naz:anim  0
святкували		святкувати 		verb:past:p:imperf  0
весілля			весілля 		noun:n:v_naz  50
8				8 				number  0
вересня			вересень 		noun:m:v_rod  0
у				у 				prep:rv_mis:v-u  0
малому			малий 			adj:m:v_mis:compb  0
залі			зал 			noun:m:v_mis  0
подякувати		подякувати 		verb:inf:perf  0
персоналу		персонал 		noun:m:v_dav  0
за				за 				prep:rv_zna 0
приємне			приємний 		adj:n:v_zna:compb  14
обслуговування	обслуговування 	noun:p:v_zna  0
за				за 				prep:rv_zna 0
смачні			смачний 		adj:p:v_zna:compb  11
страви			страва 			noun:p:v_zna  0
порядність		порядність 		noun:f:v_zna  17
та				та 				conj:coord  0
ввічливість		ввічливість 	noun:f:v_zna:v-u  11
Окремо			окремо 			adv  0
дякуємо			дякувати 		verb:pres:p:1:imperf  8
адміністратору	адміністратор 	noun:m:v_dav:anim  0
Ірині			Ірина 			noun:f:v_dav:anim:fname 0
Степанівні		Степанівна 		noun:f:v_dav:anim:patr  0
за				за 				prep:rv_zna 0
терпіння		терпіння 		noun:n:v_zna  -23
та				та 				conj:coord  0
організацію		організація 	noun:f:v_zna  0
нашого			наш 			pron:pos:n:v_rod  0
свята			свято 			noun:n:v_rod  0
Гості			гість 			noun:p:v_naz:anim  0
усі				увесь			pron:dem:p:v_naz  0
задоволені		задоволений 	adjp:pasv:past:p:v_naz:compb 36
Ваш				ваш 			pron:pos:m:v_naz  0
заклад			заклад 			noun:m:v_naz  0
один			один			numr:m:v_naz  0
із				із 				prep:rv_rod 0
кращих			хороший 		adj:p:v_rod:compr  23
культурних		культурний 		adj:p:v_rod:compb  23
та				та 				conj:coord  0
порядних		порядний 		adj:p:v_rod  19
закладів		заклад 			noun:p:v_rod  0
А				а 				part  0
ще				ще 				part  0
дякуємо			дякувати 		verb:pres:p:1:imperf  10
за				за 				prep:rv_zna 0
комфортні		комфортний 		adj:p:v_zna:compb  10
номери			номер 			noun:p:v_zna  0
Бажаємо			бажати 			verb:pres:p:1:imperf  0
вам				ви 				pron:pers:p:2:v_dav:anim 0
подальшого		подальший 		adj:m:v_rod  0
розвитку		розвиток 		noun:m:v_rod  0
та				та 				conj:coord  0
розширення		розширення 		noun:n:v_rod  0
приємних		приємний 		adj:p:v_rod:compb  10
доходів			дохід 			noun:p:v_rod  10
та				та 				conj:coord  0
не				не 				part  -32
клієнтів		клієнт 			noun:p:v_rod:anim  0
